Date,Open,High,Low,Close,Volume,OpenInt
2005-01-03,32.31,32.31,31.527,31.616,1027044,0
2005-01-04,31.527,31.616,31.22,31.338,1927762,0
2005-01-05,30.971,31.051,30.714,30.843,943399,0
2005-01-06,30.843,31.398,30.764,31.26,662398,0
2005-01-07,31.26,31.26,30.456,30.566,1087886,0
2005-01-10,30.506,31.23,30.486,30.863,896381,0
2005-01-11,30.843,30.903,30.199,30.377,835841,0
2005-01-12,30.456,30.466,29.872,30.07,1476041,0
2005-01-13,30.07,30.605,29.882,30.129,772578,0
2005-01-14,30.189,30.337,30.07,30.239,453538,0
2005-01-18,30.09,30.724,29.862,30.496,592979,0
2005-01-19,30.506,30.605,29.852,30.08,694685,0
2005-01-20,30.06,30.407,30.05,30.1,858644,0
2005-01-21,30.129,30.307,29.584,29.723,1040463,0
2005-01-24,29.763,29.931,29.287,29.346,920193,0
2005-01-25,29.465,29.644,29.188,29.287,555647,0
2005-01-26,29.326,29.495,29.168,29.336,874385,0
2005-01-27,29.217,29.733,29,29.653,636871,0
2005-01-28,29.614,29.921,29.198,29.644,771367,0
2005-01-31,29.872,30.149,29.317,29.564,884878,0
2005-02-01,29.614,29.644,29.307,29.336,925137,0
2005-02-02,29.336,29.763,29.207,29.614,699124,0
2005-02-03,29.485,29.495,28.89,29.039,962772,0
2005-02-04,29.029,29.237,28.811,29.069,1040161,0
2005-02-07,28.99,29.505,28.811,29.019,683485,0
2005-02-08,29.089,29.188,28.593,28.663,1209972,0
2005-02-09,28.663,28.841,28.118,28.226,1229041,0
2005-02-10,28.048,28.186,27.741,27.859,1645651,0
2005-02-11,28.821,30.883,28.583,30.377,5309066,0
2005-02-14,30.447,30.447,29.624,29.872,1961665,0
2005-02-15,29.872,30.06,29.733,29.882,1142068,0
2005-02-16,29.753,29.822,29.287,29.406,1269704,0
2005-02-17,29.376,29.634,29.079,29.317,776211,0
2005-02-18,29.366,29.822,29.346,29.683,972962,0
2005-02-22,30.526,31.537,30.486,30.674,2638995,0
